sampling_area,month,region,habitat,season,sex,class,species,unique_id
Area_01,juillet,plains,lake,Summer,F,J-3,Prochilodus_lineatus,F0336
Area_08,novembre,valley,lake,Autumn,F,K-4,Cichla_ocellaris,F0337
Area_07,septembre,valley,lake,Autumn,F,J-3,Geophagus_brasiliensis,F0338
Area_01,octobre,plains,marine,Summer,F,I-2,Leporinus_friderici,F0339
Area_05,aout,valley,marine,Summer,M,M-6,Pimelodus_maculatus,F0340
Area_05,mars,montain,river,Spring,F,I-2,Geophagus_brasiliensis,F0341
Area_02,novembre,pothole,river,Autumn,M,H-1,Pimelodus_maculatus,F0342
Area_02,juin,pothole,fast-stream,Autumn,F,I-2,Rhamdia_quelen,F0343
Area_07,janvier,valley,sky,Winter,M,L-5,Prochilodus_lineatus,F0344
Area_06,septembre,montain,lake,Summer,M,N-7,Geophagus_brasiliensis,F0345
Area_07,septembre,pothole,estuary,Summer,F,N-7,Rhamdia_quelen,F0346
Area_05,juillet,plains,fast-stream,Winter,M,J-3,Pimelodus_maculatus,F0347
Area_01,aout,pothole,river,Spring,F,M-6,Leporinus_friderici,F0348
Area_08,janvier,pothole,lake,Summer,F,M-6,Cichla_ocellaris,F0349
Area_01,octobre,montain,slow-stream,Autumn,M,J-3,Prochilodus_lineatus,F0350
Area_05,aout,plains,sky,Summer,F,J-3,Leporinus_friderici,F0351
Area_05,fevrier,valley,river,Winter,M,N-7,Prochilodus_lineatus,F0352
Area_04,aout,montain,estuary,Spring,F,J-3,Astyanax_fasciatus,F0353
Area_07,juin,montain,fast-stream,Spring,F,I-2,Geophagus_brasiliensis,F0354
Area_05,septembre,montain,lake,Autumn,M,N-7,Hoplias_malabaricus,F0355
Area_08,fevrier,montain,marine,Autumn,M,K-4,Rhamdia_quelen,F0356
Area_05,juillet,valley,slow-stream,Autumn,M,H-1,Astyanax_fasciatus,F0357
Area_07,juillet,montain,marine,Winter,M,K-4,Leporinus_friderici,F0358
Area_07,decembre,plains,fast-stream,Winter,F,I-2,Hoplias_malabaricus,F0359
Area_04,septembre,montain,lake,Spring,M,N-7,Hoplias_malabaricus,F0360
Area_02,mars,valley,river,Autumn,F,H-1,Prochilodus_lineatus,F0361
Area_05,mars,valley,fast-stream,Autumn,F,M-6,Leporinus_friderici,F0362
Area_01,mai,valley,lake,Spring,F,K-4,Prochilodus_lineatus,F0363
Area_01,fevrier,valley,slow-stream,Spring,F,M-6,Hoplias_malabaricus,F0364
Area_02,decembre,montain,marine,Spring,M,L-5,Geophagus_brasiliensis,F0365
Area_01,avril,pothole,slow-stream,Winter,M,H-1,Prochilodus_lineatus,F0366
Area_02,octobre,plains,sky,Spring,M,J-3,Rhamdia_quelen,F0367
Area_05,janvier,montain,marine,Summer,F,L-5,Rhamdia_quelen,F0368
Area_08,octobre,plains,marine,Winter,M,M-6,Geophagus_brasiliensis,F0369
Area_01,mai,plains,sky,Spring,M,K-4,Astyanax_fasciatus,F0370
Area_07,octobre,pothole,marine,Winter,F,K-4,Prochilodus_lineatus,F0371
Area_03,aout,valley,lake,Spring,F,I-2,Rhamdia_quelen,F0372
Area_02,mai,plains,river,Autumn,F,L-5,Rhamdia_quelen,F0373
Area_02,juin,montain,fast-stream,Summer,M,K-4,Astyanax_fasciatus,F0374
Area_05,septembre,valley,estuary,Winter,F,J-3,Hoplias_malabaricus,F0375
Area_07,mars,montain,fast-stream,Summer,M,K-4,Astyanax_fasciatus,F0376
Area_04,decembre,valley,estuary,Autumn,F,N-7,Leporinus_friderici,F0377
Area_01,janvier,pothole,fast-stream,Spring,M,N-7,Leporinus_friderici,F0378
Area_05,septembre,montain,marine,Summer,M,K-4,Cichla_ocellaris,F0379
Area_02,decembre,plains,fast-stream,Winter,F,N-7,Astyanax_fasciatus,F0380
Area_05,fevrier,valley,estuary,Autumn,F,N-7,Leporinus_friderici,F0381
Area_06,janvier,pothole,fast-stream,Winter,F,M-6,Hoplias_malabaricus,F0382
Area_02,aout,plains,slow-stream,Summer,M,H-1,Prochilodus_lineatus,F0383
Area_02,septembre,valley,sky,Spring,F,L-5,Hoplias_malabaricus,F0384
Area_06,fevrier,pothole,river,Summer,M,I-2,Cichla_ocellaris,F0385
Area_04,decembre,pothole,fast-stream,Spring,M,J-3,Leporinus_friderici,F0386
Area_08,novembre,plains,lake,Summer,F,L-5,Rhamdia_quelen,F0387
Area_08,mars,pothole,estuary,Spring,M,I-2,Astyanax_fasciatus,F0388
Area_08,juin,plains,estuary,Summer,F,N-7,Leporinus_friderici,F0389
Area_03,janvier,plains,slow-stream,Spring,F,I-2,Geophagus_brasiliensis,F0390
Area_04,juillet,valley,fast-stream,Summer,M,M-6,Astyanax_fasciatus,F0391
Area_03,fevrier,pothole,fast-stream,Winter,F,L-5,Astyanax_fasciatus,F0392
Area_03,mai,pothole,marine,Summer,F,H-1,Hoplias_malabaricus,F0393
Area_03,novembre,plains,lake,Spring,M,K-4,Leporinus_friderici,F0394
Area_05,octobre,plains,lake,Autumn,M,H-1,Leporinus_friderici,F0395
Area_07,novembre,pothole,river,Winter,M,J-3,Hoplias_malabaricus,F0396
Area_03,mars,valley,marine,Winter,F,J-3,Astyanax_fasciatus,F0397
Area_07,juillet,pothole,lake,Winter,F,K-4,Rhamdia_quelen,F0398
Area_08,fevrier,valley,fast-stream,Autumn,M,H-1,Pimelodus_maculatus,F0399
Area_02,aout,valley,river,Spring,F,H-1,Geophagus_brasiliensis,F0400
Area_07,mars,pothole,fast-stream,Summer,M,L-5,Hoplias_malabaricus,F0401
Area_07,avril,plains,river,Spring,F,H-1,Cichla_ocellaris,F0402
Area_03,mars,valley,marine,Summer,M,I-2,Pimelodus_maculatus,F0403
Area_01,mars,montain,slow-stream,Winter,M,H-1,Cichla_ocellaris,F0404
Area_05,fevrier,plains,estuary,Winter,M,K-4,Prochilodus_lineatus,F0405
Area_07,avril,plains,fast-stream,Summer,F,I-2,Cichla_ocellaris,F0406
Area_06,avril,plains,slow-stream,Autumn,F,H-1,Astyanax_fasciatus,F0407
Area_07,juin,pothole,sky,Winter,M,L-5,Geophagus_brasiliensis,F0408
Area_06,juin,valley,fast-stream,Autumn,F,L-5,Rhamdia_quelen,F0409
Area_01,mars,montain,estuary,Spring,F,I-2,Geophagus_brasiliensis,F0410
Area_04,septembre,pothole,marine,Winter,F,J-3,Prochilodus_lineatus,F0411
Area_02,mai,montain,sky,Autumn,M,K-4,Geophagus_brasiliensis,F0412
Area_06,mai,pothole,sky,Autumn,F,J-3,Geophagus_brasiliensis,F0413
Area_02,aout,valley,fast-stream,Spring,M,M-6,Astyanax_fasciatus,F0414
Area_04,mai,montain,marine,Summer,M,J-3,Hoplias_malabaricus,F0415
Area_01,mai,plains,fast-stream,Autumn,F,N-7,Pimelodus_maculatus,F0416
Area_04,mars,montain,lake,Autumn,M,N-7,Hoplias_malabaricus,F0417
Area_05,decembre,pothole,slow-stream,Autumn,M,I-2,Pimelodus_maculatus,F0418
Area_05,juillet,montain,fast-stream,Autumn,M,I-2,Astyanax_fasciatus,F0419
Area_03,janvier,valley,lake,Spring,M,I-2,Pimelodus_maculatus,F0420
Area_07,fevrier,montain,river,Winter,F,L-5,Astyanax_fasciatus,F0421
Area_05,janvier,montain,marine,Autumn,F,K-4,Rhamdia_quelen,F0422
Area_05,novembre,plains,river,Autumn,F,J-3,Leporinus_friderici,F0423
Area_03,aout,pothole,sky,Summer,M,N-7,Leporinus_friderici,F0424
Area_01,janvier,plains,estuary,Winter,M,I-2,Rhamdia_quelen,F0425
Area_03,fevrier,valley,river,Winter,F,J-3,Rhamdia_quelen,F0426
Area_04,octobre,valley,sky,Spring,F,I-2,Rhamdia_quelen,F0427
Area_02,fevrier,pothole,river,Spring,M,K-4,Hoplias_malabaricus,F0428
Area_05,juin,valley,fast-stream,Summer,F,I-2,Astyanax_fasciatus,F0429
Area_01,decembre,pothole,estuary,Winter,M,J-3,Astyanax_fasciatus,F0430
Area_07,mars,valley,river,Autumn,M,K-4,Geophagus_brasiliensis,F0431
Area_04,aout,valley,marine,Summer,F,L-5,Leporinus_friderici,F0432
Area_06,novembre,plains,marine,Summer,F,J-3,Prochilodus_lineatus,F0433
Area_03,janvier,montain,marine,Autumn,M,J-3,Hoplias_malabaricus,F0434
Area_06,novembre,pothole,fast-stream,Summer,M,H-1,Prochilodus_lineatus,F0435
Area_01,juin,pothole,lake,Summer,F,N-7,Rhamdia_quelen,F0436
Area_02,novembre,pothole,river,Autumn,M,J-3,Geophagus_brasiliensis,F0437
Area_07,aout,pothole,lake,Summer,M,N-7,Cichla_ocellaris,F0438
Area_06,janvier,plains,river,Spring,F,I-2,Hoplias_malabaricus,F0439
Area_03,avril,pothole,river,Spring,M,I-2,Prochilodus_lineatus,F0440
Area_03,decembre,valley,estuary,Summer,M,N-7,Geophagus_brasiliensis,F0441
Area_01,aout,valley,lake,Winter,M,K-4,Geophagus_brasiliensis,F0442
Area_02,mars,plains,estuary,Summer,M,I-2,Geophagus_brasiliensis,F0443
Area_08,novembre,pothole,estuary,Spring,F,M-6,Leporinus_friderici,F0444
Area_01,novembre,plains,lake,Summer,F,I-2,Pimelodus_maculatus,F0445
Area_06,janvier,plains,river,Autumn,M,I-2,Rhamdia_quelen,F0446
Area_02,juin,plains,marine,Spring,M,M-6,Prochilodus_lineatus,F0447
Area_08,decembre,plains,river,Winter,M,I-2,Rhamdia_quelen,F0448
Area_02,mars,valley,lake,Autumn,F,M-6,Geophagus_brasiliensis,F0449
Area_08,mai,valley,river,Spring,F,H-1,Rhamdia_quelen,F0450
Area_02,janvier,plains,fast-stream,Winter,F,J-3,Cichla_ocellaris,F0451
Area_05,juin,valley,lake,Winter,F,L-5,Geophagus_brasiliensis,F0452
Area_04,mai,montain,lake,Winter,M,K-4,Hoplias_malabaricus,F0453
Area_06,janvier,pothole,lake,Summer,M,L-5,Rhamdia_quelen,F0454
Area_04,aout,montain,sky,Autumn,M,H-1,Leporinus_friderici,F0455
Area_05,septembre,pothole,slow-stream,Autumn,M,M-6,Rhamdia_quelen,F0456
Area_04,novembre,valley,fast-stream,Winter,M,I-2,Prochilodus_lineatus,F0457
Area_06,mai,plains,estuary,Autumn,M,J-3,Leporinus_friderici,F0458
Area_01,mai,montain,slow-stream,Winter,F,L-5,Leporinus_friderici,F0459
Area_08,novembre,pothole,estuary,Spring,F,N-7,Hoplias_malabaricus,F0460
Area_08,aout,valley,lake,Winter,F,I-2,Leporinus_friderici,F0461
Area_07,avril,plains,lake,Autumn,M,K-4,Rhamdia_quelen,F0462
Area_02,avril,pothole,river,Spring,F,H-1,Prochilodus_lineatus,F0463
Area_01,avril,valley,estuary,Autumn,F,H-1,Rhamdia_quelen,F0464
Area_07,novembre,montain,river,Summer,F,N-7,Rhamdia_quelen,F0465
Area_02,decembre,plains,river,Autumn,F,J-3,Pimelodus_maculatus,F0466
Area_08,mai,plains,lake,Autumn,M,K-4,Rhamdia_quelen,F0467
Area_03,avril,valley,sky,Summer,F,J-3,Leporinus_friderici,F0468
Area_02,juin,plains,estuary,Winter,M,N-7,Geophagus_brasiliensis,F0469
Area_07,octobre,pothole,slow-stream,Spring,F,N-7,Geophagus_brasiliensis,F0470
Area_03,avril,valley,river,Summer,M,I-2,Pimelodus_maculatus,F0471
Area_01,novembre,valley,sky,Autumn,M,N-7,Prochilodus_lineatus,F0472
Area_04,janvier,valley,river,Summer,M,J-3,Pimelodus_maculatus,F0473
Area_02,novembre,plains,fast-stream,Autumn,F,N-7,Prochilodus_lineatus,F0474
Area_03,aout,pothole,sky,Summer,M,K-4,Hoplias_malabaricus,F0475
Area_05,mai,valley,fast-stream,Summer,M,H-1,Prochilodus_lineatus,F0476
Area_05,mai,plains,river,Winter,M,H-1,Prochilodus_lineatus,F0477
Area_07,octobre,pothole,marine,Summer,F,K-4,Leporinus_friderici,F0478
Area_06,mars,valley,sky,Winter,F,N-7,Hoplias_malabaricus,F0479
Area_03,novembre,valley,river,Summer,M,H-1,Astyanax_fasciatus,F0480
Area_06,janvier,pothole,sky,Autumn,M,N-7,Astyanax_fasciatus,F0481
Area_06,fevrier,montain,river,Winter,M,N-7,Rhamdia_quelen,F0482
Area_02,decembre,pothole,lake,Spring,M,J-3,Astyanax_fasciatus,F0483
Area_08,mars,montain,lake,Spring,M,I-2,Pimelodus_maculatus,F0484
Area_05,avril,pothole,lake,Spring,M,I-2,Leporinus_friderici,F0485
Area_04,octobre,plains,slow-stream,Spring,M,I-2,Leporinus_friderici,F0486
Area_02,avril,plains,sky,Autumn,M,H-1,Astyanax_fasciatus,F0487
Area_01,avril,valley,fast-stream,Autumn,M,L-5,Astyanax_fasciatus,F0488
Area_08,octobre,pothole,marine,Summer,M,L-5,Pimelodus_maculatus,F0489
Area_04,janvier,pothole,marine,Winter,F,I-2,Cichla_ocellaris,F0490
Area_01,septembre,plains,fast-stream,Spring,F,J-3,Cichla_ocellaris,F0491
Area_04,janvier,pothole,sky,Summer,M,I-2,Prochilodus_lineatus,F0492
Area_05,mai,pothole,estuary,Spring,M,N-7,Rhamdia_quelen,F0493
Area_04,avril,pothole,sky,Spring,F,J-3,Rhamdia_quelen,F0494
Area_02,janvier,plains,sky,Winter,F,J-3,Hoplias_malabaricus,F0495
Area_02,juillet,plains,sky,Summer,F,N-7,Rhamdia_quelen,F0496
Area_04,septembre,plains,slow-stream,Spring,F,J-3,Geophagus_brasiliensis,F0497
Area_07,novembre,plains,fast-stream,Summer,M,J-3,Leporinus_friderici,F0498
Area_03,mai,plains,river,Spring,F,M-6,Geophagus_brasiliensis,F0499
Area_05,septembre,valley,marine,Spring,M,K-4,Astyanax_fasciatus,F0500
Area_06,juin,valley,slow-stream,Winter,M,L-5,Prochilodus_lineatus,F0501
Area_08,septembre,montain,marine,Summer,M,H-1,Cichla_ocellaris,F0502
Area_08,mars,pothole,river,Summer,F,M-6,Astyanax_fasciatus,F0503
Area_02,septembre,montain,estuary,Summer,M,L-5,Geophagus_brasiliensis,F0504
Area_07,janvier,montain,lake,Winter,M,H-1,Cichla_ocellaris,F0505
Area_03,mars,valley,marine,Winter,F,N-7,Pimelodus_maculatus,F0506
Area_03,novembre,montain,slow-stream,Autumn,M,M-6,Leporinus_friderici,F0507
Area_03,juin,valley,marine,Spring,F,H-1,Prochilodus_lineatus,F0508
Area_06,fevrier,montain,slow-stream,Spring,F,I-2,Cichla_ocellaris,F0509
Area_01,janvier,montain,estuary,Spring,F,N-7,Astyanax_fasciatus,F0510
Area_08,decembre,montain,sky,Winter,F,H-1,Leporinus_friderici,F0511
Area_01,octobre,montain,estuary,Summer,F,L-5,Rhamdia_quelen,F0512
Area_08,mai,plains,sky,Winter,M,I-2,Rhamdia_quelen,F0513
Area_03,janvier,pothole,slow-stream,Spring,F,M-6,Cichla_ocellaris,F0514
Area_04,juin,plains,estuary,Summer,F,L-5,Rhamdia_quelen,F0515
Area_08,novembre,plains,fast-stream,Winter,M,I-2,Astyanax_fasciatus,F0516
Area_04,juin,plains,slow-stream,Summer,M,J-3,Prochilodus_lineatus,F0517
Area_05,aout,pothole,lake,Winter,F,M-6,Prochilodus_lineatus,F0518
Area_02,janvier,montain,sky,Winter,M,L-5,Cichla_ocellaris,F0519
Area_02,juin,valley,estuary,Autumn,F,M-6,Rhamdia_quelen,F0520
Area_08,janvier,valley,marine,Spring,F,N-7,Leporinus_friderici,F0521
Area_04,juin,valley,river,Spring,M,J-3,Prochilodus_lineatus,F0522
Area_07,juin,plains,lake,Autumn,F,K-4,Cichla_ocellaris,F0523
Area_02,mai,pothole,lake,Autumn,F,J-3,Prochilodus_lineatus,F0524
Area_01,octobre,pothole,estuary,Autumn,M,N-7,Hoplias_malabaricus,F0525
Area_04,septembre,valley,slow-stream,Winter,F,K-4,Geophagus_brasiliensis,F0526
Area_03,octobre,plains,lake,Summer,M,H-1,Pimelodus_maculatus,F0527
Area_01,mars,pothole,river,Summer,F,K-4,Pimelodus_maculatus,F0528
Area_05,septembre,montain,sky,Summer,F,H-1,Astyanax_fasciatus,F0529
Area_03,mai,montain,slow-stream,Spring,M,L-5,Leporinus_friderici,F0530
Area_04,juillet,plains,sky,Winter,F,H-1,Prochilodus_lineatus,F0531
Area_08,fevrier,plains,river,Spring,F,L-5,Hoplias_malabaricus,F0532
Area_02,juin,plains,lake,Winter,F,L-5,Hoplias_malabaricus,F0533
Area_05,octobre,montain,marine,Summer,F,L-5,Cichla_ocellaris,F0534
Area_05,juillet,valley,estuary,Winter,M,J-3,Leporinus_friderici,F0535
Area_02,septembre,pothole,river,Spring,M,N-7,Hoplias_malabaricus,F0536
Area_06,mars,montain,sky,Spring,F,M-6,Rhamdia_quelen,F0537
Area_02,septembre,valley,slow-stream,Spring,F,M-6,Astyanax_fasciatus,F0538
Area_02,juin,montain,marine,Summer,M,I-2,Rhamdia_quelen,F0539
Area_01,juin,pothole,marine,Autumn,M,K-4,Hoplias_malabaricus,F0540
Area_03,aout,montain,lake,Autumn,M,M-6,Leporinus_friderici,F0541
Area_07,avril,valley,lake,Autumn,M,L-5,Cichla_ocellaris,F0542
Area_06,juin,pothole,marine,Winter,M,M-6,Cichla_ocellaris,F0543
Area_08,janvier,plains,marine,Spring,M,H-1,Pimelodus_maculatus,F0544
Area_04,avril,pothole,lake,Winter,M,M-6,Leporinus_friderici,F0545
Area_03,juin,montain,sky,Spring,F,K-4,Geophagus_brasiliensis,F0546
Area_03,octobre,pothole,fast-stream,Spring,F,H-1,Leporinus_friderici,F0547
Area_08,juillet,valley,estuary,Winter,F,I-2,Rhamdia_quelen,F0548
Area_08,novembre,valley,lake,Winter,F,J-3,Pimelodus_maculatus,F0549
Area_03,juillet,pothole,marine,Summer,F,N-7,Pimelodus_maculatus,F0550
Area_06,novembre,plains,estuary,Autumn,M,N-7,Pimelodus_maculatus,F0551
Area_07,mai,pothole,river,Winter,M,N-7,Pimelodus_maculatus,F0552
Area_04,janvier,plains,marine,Autumn,F,H-1,Leporinus_friderici,F0553
Area_08,mars,valley,sky,Summer,F,J-3,Rhamdia_quelen,F0554
Area_04,aout,pothole,lake,Winter,M,M-6,Pimelodus_maculatus,F0555
Area_03,janvier,pothole,estuary,Autumn,F,M-6,Pimelodus_maculatus,F0556
Area_06,decembre,valley,slow-stream,Autumn,M,J-3,Hoplias_malabaricus,F0557
Area_08,aout,montain,slow-stream,Summer,F,L-5,Pimelodus_maculatus,F0558
Area_06,juillet,plains,slow-stream,Spring,F,K-4,Hoplias_malabaricus,F0559
Area_04,mars,montain,marine,Autumn,F,H-1,Geophagus_brasiliensis,F0560
Area_07,janvier,montain,slow-stream,Summer,F,I-2,Cichla_ocellaris,F0561
Area_02,aout,valley,sky,Winter,M,I-2,Geophagus_brasiliensis,F0562
Area_08,novembre,pothole,river,Summer,M,K-4,Leporinus_friderici,F0563
Area_03,aout,montain,slow-stream,Spring,M,J-3,Astyanax_fasciatus,F0564
Area_08,juillet,plains,slow-stream,Autumn,M,K-4,Astyanax_fasciatus,F0565
Area_06,septembre,plains,river,Autumn,F,M-6,Astyanax_fasciatus,F0566
Area_08,novembre,valley,river,Autumn,M,K-4,Geophagus_brasiliensis,F0567
Area_04,decembre,plains,estuary,Winter,F,L-5,Prochilodus_lineatus,F0568
Area_02,janvier,valley,marine,Summer,F,J-3,Geophagus_brasiliensis,F0569
Area_01,aout,valley,river,Autumn,F,M-6,Rhamdia_quelen,F0570
Area_06,janvier,pothole,marine,Spring,F,J-3,Cichla_ocellaris,F0571
Area_03,juin,pothole,slow-stream,Winter,M,M-6,Leporinus_friderici,F0572
Area_04,fevrier,pothole,slow-stream,Spring,M,H-1,Astyanax_fasciatus,F0573
Area_01,mai,plains,lake,Autumn,M,M-6,Hoplias_malabaricus,F0574
Area_01,octobre,valley,river,Autumn,M,K-4,Pimelodus_maculatus,F0575
Area_04,mars,pothole,lake,Autumn,M,M-6,Astyanax_fasciatus,F0576
Area_07,octobre,valley,sky,Summer,M,L-5,Leporinus_friderici,F0577
Area_04,avril,pothole,estuary,Winter,M,L-5,Prochilodus_lineatus,F0578
Area_06,aout,plains,marine,Summer,M,M-6,Prochilodus_lineatus,F0579
Area_05,juin,pothole,fast-stream,Winter,F,H-1,Hoplias_malabaricus,F0580
Area_01,septembre,plains,sky,Summer,F,H-1,Cichla_ocellaris,F0581
Area_08,mai,valley,slow-stream,Autumn,F,J-3,Geophagus_brasiliensis,F0582
Area_07,janvier,pothole,sky,Winter,F,N-7,Hoplias_malabaricus,F0583
Area_07,janvier,valley,slow-stream,Winter,F,J-3,Rhamdia_quelen,F0584
Area_04,fevrier,plains,estuary,Spring,M,M-6,Pimelodus_maculatus,F0585
Area_07,octobre,montain,marine,Summer,M,H-1,Hoplias_malabaricus,F0586
Area_05,septembre,montain,river,Spring,M,H-1,Cichla_ocellaris,F0587
Area_06,novembre,valley,estuary,Spring,M,K-4,Pimelodus_maculatus,F0588
Area_06,janvier,valley,marine,Summer,F,H-1,Pimelodus_maculatus,F0589
Area_07,fevrier,pothole,river,Winter,M,H-1,Prochilodus_lineatus,F0590
Area_07,novembre,montain,river,Autumn,M,M-6,Rhamdia_quelen,F0591
Area_08,septembre,pothole,lake,Autumn,M,L-5,Leporinus_friderici,F0592
Area_03,janvier,plains,estuary,Autumn,F,M-6,Prochilodus_lineatus,F0593
Area_08,fevrier,pothole,marine,Summer,F,H-1,Prochilodus_lineatus,F0594
Area_07,avril,plains,estuary,Autumn,F,L-5,Astyanax_fasciatus,F0595
Area_02,aout,pothole,lake,Summer,M,M-6,Cichla_ocellaris,F0596
Area_05,aout,valley,slow-stream,Winter,F,N-7,Astyanax_fasciatus,F0597
Area_07,mai,plains,marine,Autumn,F,I-2,Hoplias_malabaricus,F0598
Area_04,septembre,valley,lake,Autumn,M,M-6,Prochilodus_lineatus,F0599
Area_08,octobre,montain,fast-stream,Autumn,F,K-4,Rhamdia_quelen,F0600
Area_04,janvier,plains,river,Spring,F,H-1,Astyanax_fasciatus,F0601
Area_06,avril,pothole,sky,Autumn,M,K-4,Pimelodus_maculatus,F0602
Area_08,juillet,pothole,estuary,Winter,F,K-4,Pimelodus_maculatus,F0603
Area_01,juin,plains,fast-stream,Autumn,M,H-1,Geophagus_brasiliensis,F0604
Area_03,decembre,pothole,estuary,Spring,F,H-1,Prochilodus_lineatus,F0605
Area_03,novembre,montain,lake,Winter,M,N-7,Geophagus_brasiliensis,F0606
Area_03,fevrier,valley,fast-stream,Autumn,F,L-5,Pimelodus_maculatus,F0607
Area_06,decembre,plains,river,Winter,F,L-5,Rhamdia_quelen,F0608
Area_05,juillet,valley,sky,Autumn,M,M-6,Hoplias_malabaricus,F0609
Area_02,mars,valley,fast-stream,Autumn,F,L-5,Leporinus_friderici,F0610
Area_07,novembre,pothole,estuary,Spring,F,L-5,Astyanax_fasciatus,F0611
Area_05,fevrier,montain,fast-stream,Autumn,M,I-2,Geophagus_brasiliensis,F0612
Area_02,janvier,pothole,river,Autumn,F,H-1,Pimelodus_maculatus,F0613
Area_01,juin,plains,estuary,Autumn,F,N-7,Pimelodus_maculatus,F0614
Area_06,juin,plains,river,Winter,F,M-6,Prochilodus_lineatus,F0615
Area_06,avril,montain,river,Summer,M,J-3,Rhamdia_quelen,F0616
Area_04,mai,montain,estuary,Winter,M,H-1,Geophagus_brasiliensis,F0617
Area_07,mai,plains,estuary,Spring,M,I-2,Astyanax_fasciatus,F0618
Area_06,octobre,pothole,estuary,Winter,F,N-7,Prochilodus_lineatus,F0619
Area_06,aout,valley,lake,Summer,F,J-3,Leporinus_friderici,F0620
Area_06,juin,valley,lake,Winter,M,L-5,Prochilodus_lineatus,F0621
Area_02,octobre,valley,fast-stream,Winter,M,H-1,Astyanax_fasciatus,F0622
Area_02,juillet,pothole,lake,Winter,F,K-4,Prochilodus_lineatus,F0623
Area_08,mars,plains,river,Spring,M,J-3,Cichla_ocellaris,F0624
Area_08,janvier,plains,fast-stream,Summer,M,I-2,Rhamdia_quelen,F0625
Area_03,fevrier,valley,river,Summer,F,I-2,Astyanax_fasciatus,F0626
Area_05,octobre,pothole,slow-stream,Summer,M,H-1,Rhamdia_quelen,F0627
Area_01,mai,montain,fast-stream,Autumn,M,I-2,Rhamdia_quelen,F0628
Area_07,mai,valley,estuary,Autumn,F,H-1,Cichla_ocellaris,F0629
Area_03,juillet,montain,river,Winter,M,J-3,Prochilodus_lineatus,F0630
Area_07,janvier,valley,marine,Spring,M,J-3,Rhamdia_quelen,F0631
Area_08,janvier,valley,estuary,Autumn,M,J-3,Prochilodus_lineatus,F0632
Area_03,octobre,valley,river,Winter,M,H-1,Rhamdia_quelen,F0633
Area_02,fevrier,pothole,slow-stream,Spring,M,M-6,Geophagus_brasiliensis,F0634
Area_05,fevrier,pothole,slow-stream,Autumn,M,L-5,Cichla_ocellaris,F0635
Area_01,novembre,plains,sky,Autumn,F,L-5,Rhamdia_quelen,F0636
Area_07,novembre,pothole,fast-stream,Winter,F,M-6,Astyanax_fasciatus,F0637
Area_06,mai,montain,fast-stream,Spring,F,N-7,Cichla_ocellaris,F0638
Area_08,janvier,pothole,slow-stream,Winter,F,L-5,Prochilodus_lineatus,F0639
Area_04,mars,montain,slow-stream,Spring,M,N-7,Pimelodus_maculatus,F0640
Area_06,octobre,pothole,estuary,Spring,M,I-2,Prochilodus_lineatus,F0641
Area_08,septembre,valley,fast-stream,Summer,M,N-7,Hoplias_malabaricus,F0642
Area_07,mars,montain,sky,Spring,M,I-2,Astyanax_fasciatus,F0643
Area_04,fevrier,plains,slow-stream,Spring,F,M-6,Geophagus_brasiliensis,F0644
Area_08,decembre,pothole,fast-stream,Autumn,F,I-2,Hoplias_malabaricus,F0645
Area_01,janvier,plains,marine,Autumn,F,N-7,Geophagus_brasiliensis,F0646
Area_03,septembre,valley,river,Autumn,M,L-5,Pimelodus_maculatus,F0647
Area_04,mars,plains,river,Autumn,M,N-7,Rhamdia_quelen,F0648
Area_07,fevrier,montain,marine,Winter,F,N-7,Geophagus_brasiliensis,F0649
Area_04,septembre,montain,estuary,Winter,F,L-5,Geophagus_brasiliensis,F0650
Area_01,octobre,pothole,lake,Winter,F,N-7,Leporinus_friderici,F0651
Area_05,novembre,plains,sky,Winter,M,H-1,Leporinus_friderici,F0652
Area_03,octobre,valley,fast-stream,Summer,F,M-6,Pimelodus_maculatus,F0653
Area_07,juin,montain,estuary,Spring,F,J-3,Rhamdia_quelen,F0654
Area_04,juin,montain,estuary,Summer,F,K-4,Geophagus_brasiliensis,F0655
Area_02,aout,montain,fast-stream,Spring,M,J-3,Geophagus_brasiliensis,F0656
Area_06,decembre,pothole,marine,Spring,F,J-3,Astyanax_fasciatus,F0657
Area_08,avril,pothole,river,Summer,F,L-5,Leporinus_friderici,F0658
Area_07,fevrier,montain,slow-stream,Autumn,F,N-7,Rhamdia_quelen,F0659
Area_06,janvier,pothole,slow-stream,Autumn,F,K-4,Geophagus_brasiliensis,F0660
Area_07,fevrier,montain,river,Autumn,F,H-1,Hoplias_malabaricus,F0661
Area_03,juillet,montain,sky,Spring,F,L-5,Pimelodus_maculatus,F0662
Area_02,novembre,valley,lake,Spring,F,H-1,Prochilodus_lineatus,F0663
Area_03,juillet,montain,marine,Autumn,F,K-4,Prochilodus_lineatus,F0664
Area_03,avril,plains,fast-stream,Winter,F,N-7,Astyanax_fasciatus,F0665
Area_01,mai,pothole,sky,Spring,M,L-5,Cichla_ocellaris,F0666
Area_07,novembre,valley,fast-stream,Winter,F,K-4,Geophagus_brasiliensis,F0667
Area_05,novembre,valley,river,Autumn,M,H-1,Leporinus_friderici,F0668
Area_06,octobre,valley,slow-stream,Spring,F,M-6,Pimelodus_maculatus,F0669
Area_04,novembre,pothole,sky,Autumn,M,H-1,Astyanax_fasciatus,F0670
