"sampling_area","month","region","habitat","season","sex","class","unique_id","species","prey_1","prey_2","prey_3","prey_4","prey_5","prey_6","prey_7","prey_8","prey_9","prey_10","prey_11","prey_12","prey_13","prey_14","prey_15","prey_16","prey_17","prey_18","prey_19","prey_20","prey_21","prey_22","prey_23","prey_24","prey_25","prey_26","prey_27","prey_28","prey_29","prey_30","prey_31","prey_32","prey_33","prey_34","prey_35","prey_36","prey_37","prey_38","prey_39","prey_40","prey_41","prey_42","prey_43","prey_44","prey_45","prey_46","prey_47","prey_48","prey_49","prey_50","prey_51","prey_52","prey_53","prey_54","prey_55","prey_56","prey_57","prey_58","prey_59","prey_60"
"Area_01","aout","pothole","river","Spring","F","M-6","F0348","Leporinus_friderici",0.78,0,0.51,0,0,0.96,0.55,0.5,0,0,0.16,0.62,0,0.58,0,0,0.26,0,0,0,0.34,0.12,0,0,0.22,0.83,0.71,0.17,0.38,0,0.42,0.26,0.4,0,0.62,0.25,0.92,0,0.58,0.51,0.44,0,0,0,0,0,0,0.99,0,0.64,0.81,0,0.46,0,0.38,0.85,0.19,0,0.77,0.59
"Area_08","janvier","pothole","lake","Summer","F","M-6","F0349","Cichla_ocellaris",0.83,0.68,0.64,0.68,0,0.97,0,0,0.44,0.97,0,0.26,0.48,0,0.91,0.86,0.23,0.13,0,0,0.43,0,0.82,0.89,0.77,0.2,0,0.59,0.99,0.65,0,0.94,0,0.83,0.19,0,0,0.47,0,0,0.55,0.66,0.42,0,0.05,0.67,0,0,0.37,0.1,0.24,0.13,0,0,0.51,0,0,0.08,0,0.39
"Area_01","octobre","montain","slow-stream","Autumn","M","J-3","F0350","Prochilodus_lineatus",0,0.32,0,0.26,0.8,0.61,0.76,0.54,0.05,0,0.55,0,0,0.34,0.18,0.28,0.91,0,0.31,0.36,0,0.47,0.44,0,0.02,0,0.78,0,0,0.08,0.66,0.21,0,0.53,0.93,0.46,0,0.26,0,0.45,0.81,0.75,0,0,0.37,0,0,0,0.11,0.1,0,0,0,0.77,0,0,0.81,0,0.26,0
"Area_05","aout","plains","sky","Summer","F","J-3","F0351","Leporinus_friderici",0.09,0.47,0,0.12,0.72,0.18,0,0.14,0,0.89,0.54,0,0.5,0,0,0.22,0.65,0.4,0,0.6,0.22,0.08,0,0.97,0.04,0.68,0,0.45,0.18,0.28,0,0,0.64,1,0,0.96,0,0.17,0.73,0.73,0.08,0,0,0.46,0.71,0.82,0.23,0,0.99,0.66,0,0,0,0.65,0.71,0.88,0.11,0.62,0.07,0.58
"Area_05","fevrier","valley","river","Winter","M","N-7","F0352","Prochilodus_lineatus",0,0.89,0,0,0.35,0.31,0.63,0,0.44,0,0.69,0.98,0,0.18,0,0.35,0.21,0.02,0.86,0,0,0,0.3,0.29,0,0.37,0,0,0.58,0.72,0.71,0.46,0.28,0,0,0.81,0.5,0.31,0.92,0.49,0.5,0.92,0,0.64,0.37,0,0.84,0.02,0.97,0,0.72,0.92,0.65,0.64,0.86,0.98,0,0,0,0.74
"Area_04","aout","montain","estuary","Spring","F","J-3","F0353","Astyanax_fasciatus",0,0,0.88,0,0.31,0.47,0.07,0.18,0,0,0.41,0,0.59,0.29,0.78,0,0,0.36,0.12,0,0,0,0.22,0.2,0.46,0,0,0.88,0.48,0.2,0.62,0,0.32,0,0,0,0,0.77,0.03,0.91,0,0.89,0.95,0.43,0,0,0.78,0,0,0.63,0.29,0,0.88,0.34,0.97,0.01,0.3,0.24,0,0
"Area_07","juin","montain","fast-stream","Spring","F","I-2","F0354","Geophagus_brasiliensis",0.75,0,0.19,0,0.69,0.13,0,0.98,0.48,0.16,0.34,0.98,0.11,0,0.94,0,0.45,0.46,0.3,0,0.37,0.66,0.27,0.63,0,0.48,0,0,0.29,0.75,0.56,0,0,0.97,0.02,0,0,0.68,0.57,0.64,0.13,0,0.21,0,0.91,0.68,0.38,0,0,0.14,0.53,0,0.16,0.28,0.99,0,0,0,0.65,0.9
"Area_05","septembre","montain","lake","Autumn","M","N-7","F0355","Hoplias_malabaricus",0,0.46,0.87,0.02,0,0.55,0.44,0.46,0,0.62,0.72,0.49,0,0,0.84,0.18,0.6,0,0,0.72,0.79,0.16,0.2,0.81,0.4,0,0,0,0.88,0,0.76,0.54,0.02,0,0.46,0.38,0.25,0,0,0,0.28,0,0.64,0,0.13,0,0.29,0.68,0,0.55,0.31,0.34,0,0.61,0.32,0,0.85,0,0,0.88
"Area_08","fevrier","montain","marine","Autumn","M","K-4","F0356","Rhamdia_quelen",0.95,0.37,0,0.18,0,0.37,0,0.8,0,0.69,0.06,0.63,0.56,0.73,0.38,0.98,0.65,0,0.06,0.65,0.38,0.45,0,0,0.2,0.3,0.43,0.55,0,0,0.88,0,0.11,0.44,1,0,0.53,0.97,0.57,0.28,0.05,0.82,0.42,0.67,0.21,0.34,0,0,0.4,0,0,0.93,0.26,0.52,0.74,0.67,0.02,0,0,0.78
"Area_05","juillet","valley","slow-stream","Autumn","M","H-1","F0357","Astyanax_fasciatus",0,0.22,0.78,0.88,0,0.53,0.94,0.45,0.19,0.15,0.8,0,0,0.59,0,0.11,0,0,0.7,0.98,0.28,0,0,0.31,0.88,0,0.73,0.97,0.18,0.52,0,0,0.08,0.66,0,0,0.9,0.46,0.01,0.59,0.42,0.22,0.21,0,0.62,0.07,0.16,0,0,0.77,0.92,0,0.31,0.64,0,0.08,0,0.48,0.44,0.37
"Area_07","juillet","montain","marine","Winter","M","K-4","F0358","Leporinus_friderici",0.56,0.03,0,0,0.24,0,0.88,0,0.86,0.75,0,0.8,0,0.63,0.28,0.54,0,0.56,0.26,0.34,0,0.09,0.85,0,0,0.11,0.39,0.81,0.26,0,0.66,0.59,0.31,0,0,0.62,0.29,0.75,0,0.85,0.92,0,0,0.86,0.87,0.19,0.21,0,0.33,0.7,0,0,0,0,0.95,0,0.18,0.59,0,0.06
"Area_07","decembre","plains","fast-stream","Winter","F","I-2","F0359","Hoplias_malabaricus",0.17,0.85,0.83,0,0,0.35,0.32,0.13,0,0.67,0.15,0,0.6,0.18,0.11,0.61,0.99,0.99,0.3,0,0,0,0,0.48,0.92,0.11,0.8,0.16,0,0.55,0.26,0.17,0.31,0.49,0.41,0.03,0.36,0,0.14,0,0.29,0,0.67,0.16,0.47,0,0,0.16,0,0.57,0.15,0.92,0,0,0.9,0.61,0.76,0.22,0,0.71
"Area_04","septembre","montain","lake","Spring","M","N-7","F0360","Hoplias_malabaricus",0,0,0.9,0.22,0.78,0.08,0.33,0.3,0.57,0,0.67,0.07,0.74,0.7,0.58,0.05,0,0,0.82,0.92,0,0.13,0,0.92,0.23,0,0,0.2,0.88,0.4,0,0.7,0.43,0.5,0.97,0.39,0,0.95,0.04,0.48,0.55,0.04,0,0.53,0.37,0,0,0.63,0.77,0.54,0.92,0.51,0.18,0.89,0.62,0,0,0,0,0
"Area_02","mars","valley","river","Autumn","F","H-1","F0361","Prochilodus_lineatus",0.11,0.53,0.67,1,0,0.95,0.04,0.79,0.37,0,0.04,0.25,0.62,0,0,0.68,0,0.16,0.38,0.77,0,0,0.1,0.85,0.96,0.49,0.29,0,0.13,0.03,0.96,0.14,0.41,0.39,0.76,0,0,0.89,0.21,0,0,0,0,0.38,0.97,0,0,0,0.37,0.74,0.33,0,0.16,0,0,0.24,0,0,0.04,0.8
"Area_05","mars","valley","fast-stream","Autumn","F","M-6","F0362","Leporinus_friderici",0.78,0.36,0.18,0.15,0,0,0,0.5,0.43,0,0.85,0,0.83,0.6,0,0.8,0,0,0,0,0,0.78,0.76,0.95,0,0.69,0.91,0.48,0.52,0.18,0.04,0.81,0.1,0.06,0.7,0,0.95,0,0.82,0.62,0.5,0.96,0,0,0.55,0.44,0,0,0.02,0.12,0.59,0.85,0.91,0.5,0,0.44,0.88,0,0.55,0.51
"Area_01","mai","valley","lake","Spring","F","K-4","F0363","Prochilodus_lineatus",0.85,0.39,0.07,0.28,0.85,0,0.98,0.38,0,0.42,0.57,0.94,0.7,0.18,0,0.91,0.91,0.13,0.31,0.97,0.58,0.15,0.91,0.17,0,0,0,0.11,0.43,0.49,0,0.3,0,0.68,0,0.49,0,0.77,0.84,0.02,0.97,0.29,0.58,0.92,0,0.56,0.34,0.25,0,0.04,0.4,0,0.88,0,0.8,0.08,0,0,0.69,0
"Area_01","fevrier","valley","slow-stream","Spring","F","M-6","F0364","Hoplias_malabaricus",0.8,0.25,0.15,0,0.69,0.63,0,0,0,0.59,0.18,0.65,0.8,0.15,0.57,0.94,0.5,0.6,0.24,0,0.98,0,0,0,0.91,0.57,0,0.12,0.46,0,0.79,0.04,0.32,0.57,0.79,0,0.44,0.42,0,0.58,0.94,0,0.71,0.54,0,0,0.42,0.15,0.01,0.28,0,0.54,0.15,0.47,0,0.45,0.98,0,0.38,0.9
"Area_02","decembre","montain","marine","Spring","M","L-5","F0365","Geophagus_brasiliensis",0.98,0,0.33,0,0.66,0,0,0.43,0.03,0.27,0.07,0.14,0.81,0,0.84,0.34,0,0.93,0.4,0.1,0.04,0,0,0,0,0.77,0,0.51,0.94,0.3,0.54,0,0.03,0.27,0.85,0.5,0,0.09,0.79,0.26,0,0.64,0,0.69,0,0.58,0,0,0,0,0.73,0,0.44,0.42,0.96,0.36,0,0,0,0.25
"Area_01","avril","pothole","slow-stream","Winter","M","H-1","F0366","Prochilodus_lineatus",0.82,0.3,0.38,0,0,0.01,0,0.26,0.48,0.7,0.74,0.26,0.75,0.68,0.12,0.89,0,0.38,0.73,0,0.06,0.9,0.98,0.86,0.3,0.64,0.16,0.42,0.98,0.65,0,0.53,0.73,0.67,0.74,0.67,0.79,0.08,0.8,0,0.56,0.52,0,0.6,0.79,0.83,0,0.48,0.25,0.43,0.97,0.37,0,0,0,0.59,0.16,0,0.49,0
"Area_02","octobre","plains","sky","Spring","M","J-3","F0367","Rhamdia_quelen",0.12,0.58,0.26,0.94,0.26,0.42,0,0.05,0.44,0,0,0.12,0.41,0,0.37,0,0.13,0.14,0,0,0,0,0,0.93,0.68,0,0.49,0,0.72,0,0,0,0.04,0.03,0,0.49,0.63,0,0.38,0.56,0.41,0.08,0,0,0,0.54,0,0.1,0,0.21,0.91,0,0,0.69,0,0.85,0.35,0.7,0,0.81
"Area_05","janvier","montain","marine","Summer","F","L-5","F0368","Rhamdia_quelen",0.87,0,0.03,0.46,0.95,0,0,0,0.16,0,0,0.02,0,0.95,0,0.14,0.71,0,0.68,0.97,0.43,0,0,0,0.83,0.9,0.03,0.87,0,0.95,0,0.56,0.07,0.05,0.57,0,0.2,0.2,0,0.12,0.83,0.94,0,0,0.74,0,0.22,0.24,0.61,0,0.56,0.89,0.85,0.75,0,0,0.83,0.36,0.32,0
"Area_08","octobre","plains","marine","Winter","M","M-6","F0369","Geophagus_brasiliensis",0.66,0,0.76,0.47,0,0.29,0.56,0.2,0.17,0.44,0.99,0.62,0.86,0.11,0.37,0,0,0.79,0,0.27,0.16,0,0.75,0.32,0.82,0,0,0.76,0.53,0,0.69,0,0.6,0.21,0.64,0.77,0.86,0,0.66,0.31,0,0.82,0.05,0,0,0.54,0,0.14,0,0,0.88,0.86,0,0,0.91,0,0.44,0.5,0,0
"Area_01","mai","plains","sky","Spring","M","K-4","F0370","Astyanax_fasciatus",0.62,0.09,0,0.38,0.84,0,0,0,0.86,0.15,0,0.43,0.73,0.56,0,0.19,0.8,0.68,0,0.99,0,0.51,0.27,0.33,0.1,0.52,0,0,0.56,0.5,0.57,0.86,0.66,0,0.17,0,0.87,0,0.57,0.22,0.56,0.86,0.68,0.87,0.98,0,0.4,0.19,0,0.39,0.62,0.4,0.11,0,0.89,0.29,0,0,0.62,0.5
"Area_07","octobre","pothole","marine","Winter","F","K-4","F0371","Prochilodus_lineatus",0.16,0.03,0,0.85,0.74,0,0.98,0.19,0.81,0.09,0,0.22,0.7,0.38,0.09,0.47,0,0,0.52,0.75,0.84,0.06,0.27,0,0.7,0.58,0.35,0.88,0,0.84,0.45,0.07,1,0.51,0,0.19,0.47,0.91,0.12,0,0,0.54,0.28,0,0,0.31,0.7,0.43,0,0.34,0.05,0.85,0.16,0.76,0,0.29,0.26,0,0.14,0.43
"Area_03","aout","valley","lake","Spring","F","I-2","F0372","Rhamdia_quelen",0,0,0,0.92,0.43,0,0.95,0.09,0.71,0.19,0.47,0,0.95,0.17,0,0.37,0,0,0.63,0.04,0,0.34,0.88,0,0,0.22,0,0.21,0,0.29,0.45,0.18,0,0,0.57,0.4,0.74,0.13,0.48,0.03,0.56,0.91,0,0,0,0.51,0.39,0.03,0.07,0.37,0.62,0.86,0,0.22,0,0.48,0,0.38,0.08,0
"Area_02","mai","plains","river","Autumn","F","L-5","F0373","Rhamdia_quelen",0.2,0,0.7,0.78,0.59,0.61,0,0.31,0.35,0.91,0.53,0.33,0.56,0,0.58,0,0.7,0.59,0.32,0.68,0.69,0,0,0.29,0.76,0.04,0.2,0,0.31,0,0.93,0.15,0,0,0.14,0.55,0,0,0.66,0.79,0.08,0,0.47,0.42,0.16,0,0.31,0,0.14,0,0.6,0.07,0,0.31,0,0,0,0.45,0,0.88
"Area_02","juin","montain","fast-stream","Summer","M","K-4","F0374","Astyanax_fasciatus",0.56,0.86,0.05,0.98,0,0.72,0.65,0,0.16,0,1,0,0.52,0.15,0.42,0.25,0,0.53,0.29,0.45,0.38,0.81,0,0,0,0,0.5,0.13,0.61,0,0,0,0.55,0.9,0.09,0,0.02,0.59,0.83,0.86,0.24,0.6,0,0.29,0.04,0.26,0,0.17,0,0.07,0.76,0,0,0.64,0,0.39,0.55,0,0.65,0.68
"Area_05","septembre","valley","estuary","Winter","F","J-3","F0375","Hoplias_malabaricus",0.78,0.69,0,0.63,0,0,0,0.79,0.98,0.09,0.7,0.3,0.14,0.24,0.49,0.92,0.29,0.75,0.18,0.52,0,0.54,0.33,0.44,0,0,0.11,0,0.28,0.1,0.27,0.53,0.9,0,0,0.45,0,0.15,0.95,0,0.07,0,0.56,0,0.7,0.91,0.89,0.61,0,0.65,0,0.06,0,0.94,0.58,0.33,0.53,0.43,0,0.21
"Area_07","mars","montain","fast-stream","Summer","M","K-4","F0376","Astyanax_fasciatus",0,0.16,0,0.24,0.9,0,0.6,0.11,0,0,0,0.52,0.96,0,0,0.13,0,0,0.35,0.82,0.03,0.74,0.52,0.47,0.91,0.3,0.03,0,0.6,0.29,0.41,0.03,0,0,0.78,0.43,0,0.2,0.21,0.21,0.73,0,0,0.86,0.01,0.34,0.07,0,0,0,0.34,0.86,0.19,0.49,0.91,0,0.9,0.86,0.66,0.47
"Area_04","decembre","valley","estuary","Autumn","F","N-7","F0377","Leporinus_friderici",0.16,0.3,0.76,0.95,0.65,0.56,0,0,0.64,0.45,0.8,0,0,0,0,0,0.14,0.13,0.93,0,0,0.97,0.31,0.48,0.81,0.34,0.82,0.98,0.01,0.11,0,0,0.58,0.99,0,0.89,0.44,0.05,0.95,0.35,0.07,0.77,0,0.21,0,0,0.35,0,0.76,0.91,0,0.59,0,0,0.94,0.89,0,0.39,0,0
"Area_01","janvier","pothole","fast-stream","Spring","M","N-7","F0378","Leporinus_friderici",0.88,0.38,0.49,0.12,0.43,0.17,0.71,0.85,0,0.78,0.88,0.74,0.41,0,0,0.28,0,0.5,0.18,0.5,0,0,0,0,0,0.4,0.71,0,0.43,0.66,0.61,0,0.12,0,0.29,0.45,0.92,0.18,0,0,0,0.98,0.23,0.51,0,0,0.32,0.36,0.67,0.59,0.7,0.26,0,0,0.2,0,0.02,0,0,0
"Area_05","septembre","montain","marine","Summer","M","K-4","F0379","Cichla_ocellaris",0.15,0,0.06,0.8,0.54,0.49,0,0.59,0,0.07,0.26,0.43,0,0.93,0.03,0,0,0,0.91,0,0.26,0.61,0.4,0.32,0,0.42,0.68,0.91,0,0.05,0.16,0.78,0,0.33,0.27,0.1,0.8,0.52,0.74,0,0.65,0.33,0,0,0.3,0.9,0,0.83,0.61,0.57,0.87,0,0.9,0.8,0,0,0.3,0.55,0,0.97
"Area_02","decembre","plains","fast-stream","Winter","F","N-7","F0380","Astyanax_fasciatus",0.7,0.7,0.8,0,0.1,0,0,0.57,0.52,0.79,0,0.65,0.96,0.34,0.52,0.23,0.37,0.84,0.04,0.45,0,0,0,0,0,0.36,0,0,0.9,0.33,0.15,0.58,0,0.02,0,0,0,0.52,0,0,0,0.56,0,0,0.76,0.21,0,0.38,0.88,0,0.53,0.85,0,0.71,0,0,0.6,0,0.57,0
"Area_05","fevrier","valley","estuary","Autumn","F","N-7","F0381","Leporinus_friderici",0.84,0,0.86,0,0.92,0,0,0.94,0.12,0.59,0.74,0.39,0.05,0.95,0.37,0,0.42,0.73,0.9,0.93,0.44,0.02,0.98,0.31,0,0,0,0.96,0,0,0,0,0.41,0,0,0.72,0.06,0.64,0.35,0,0.84,0,0.12,0.52,0.77,0.48,0,0.55,0.74,0.91,0,0.5,0,0,0,0.74,0.57,0.75,0.76,0.4
"Area_06","janvier","pothole","fast-stream","Winter","F","M-6","F0382","Hoplias_malabaricus",0.76,0,0.48,0,0.55,0,0.44,0,0,0.03,0,0,0.57,0.32,0,0,0,0.92,0.42,0.92,0.96,0,0.55,0.92,0.41,0,0.03,0.33,0,0.02,0.56,0.24,0.36,0.09,0.52,0.35,0.62,0,0.5,0.69,0.87,0.02,0.95,0,0,0.87,0,0.23,0,1,0.8,0.86,0.9,0.88,0,0.29,0.72,0,0.06,0.45
"Area_02","aout","plains","slow-stream","Summer","M","H-1","F0383","Prochilodus_lineatus",0,0,0,0,0,0,0.73,0.27,0.26,0.59,0.84,0.09,0.62,0.69,0,0,0.8,0.16,0.49,0,0,0,0,0,0,0.84,0.65,0,0,0,0,0,0.18,0.17,0.38,0.68,0,0,0.55,0.6,0.67,0.11,0,0.58,0.15,0.48,0.68,0.69,0,0,0.86,0,0.91,0.51,0,0,0,0.73,0.6,0
"Area_02","septembre","valley","sky","Spring","F","L-5","F0384","Hoplias_malabaricus",0,0.04,0.25,0.27,0.51,0.07,0.32,0,0,0.13,0.41,0.54,0.77,0,0,0.28,0.78,0,0.32,0.71,0,0.16,0.33,0,0,0.07,0,0.14,0.18,0,0.08,0.92,0.32,0.69,0.31,0.48,0.99,0.63,0,0,0.26,0,0,0,0.78,0.97,0.64,0,0,0,0,0.91,0,0.45,0.12,0.23,0.6,0.34,0.13,0.17
"Area_06","fevrier","pothole","river","Summer","M","I-2","F0385","Cichla_ocellaris",0.41,0.96,0.12,0.97,0,0.84,0,0,0.85,0.86,0.99,0.6,0,0.75,0,0,0.42,0.39,0.78,0.25,0.75,0.1,0.84,0.65,0,0.89,0.63,0,0.84,0.43,0,0,0.2,0,0,0.37,0.18,0.76,0,0.2,0.95,0,0,0.67,0.84,0.86,0.23,0.6,0,0,0.49,0,0.71,0.03,0,0,0.47,0,0.28,0.49
"Area_04","decembre","pothole","fast-stream","Spring","M","J-3","F0386","Leporinus_friderici",0.02,0.93,0,0.46,0.33,0.49,0.97,0,0,0,0,0.66,0,0.41,0.89,0.81,0,0,0,0.38,0,0,0,0.09,0.33,0,0,0.96,0.69,0.1,0.89,1,0.65,0.92,0,0,0.72,0.97,0,0.27,0.1,0.01,0.98,0.54,0.38,0.45,0,0.58,0,0,0.7,0.76,0,0,0,0.83,0.97,0.12,0.2,0
"Area_08","novembre","plains","lake","Summer","F","L-5","F0387","Rhamdia_quelen",0,0,0.26,0.75,0.24,0.74,0.81,0,0,0.85,0.88,0,0.5,0.64,0,0.74,0,0.2,0.4,0.37,0,0.86,0.09,0,0.57,0.06,0,0.06,0.9,0.72,0,0,0.25,0.91,0.59,0.11,0.05,0,0.45,0,0.02,0,0.98,0.49,0,0.43,0.23,0.89,0,0,0.18,0.18,0.83,0.46,0.11,0.29,0.18,0,0.93,0
"Area_08","mars","pothole","estuary","Spring","M","I-2","F0388","Astyanax_fasciatus",0.28,0.57,0.91,0,0.85,0.59,0.92,0.76,0,0,0.38,0.42,0,0,0,0,0,0,0.49,0.65,0.22,0,0.05,0.79,0.37,0.07,0.88,0.83,0.6,0.67,0.06,0,0.05,0.66,0.94,0.99,0.27,0.16,0.43,0.91,0.92,0.38,0.91,0.22,0.1,0.89,0.68,0,0,0.73,0,0,0.02,0.88,0,0.38,0.56,0.74,0.29,0.84
"Area_08","juin","plains","estuary","Summer","F","N-7","F0389","Leporinus_friderici",0.27,0.23,0.16,0.56,0,0.61,0.53,0.56,0,0.08,0.72,0.43,0.4,0.94,0,0.04,0,0.51,0,0,0,0,0.06,0.47,0.47,0.56,0,0.19,0.68,0.39,0.17,0,0.93,0,0,0.51,0,0.85,0,0.86,0,0,0,0.58,0.24,0.69,0.82,0.14,0,0.4,0.91,0,0.23,0.07,0.61,0.16,0.95,0,0.1,0
"Area_03","janvier","plains","slow-stream","Spring","F","I-2","F0390","Geophagus_brasiliensis",0.83,0.84,0.39,0,0,0,0,0.54,0,0.32,0,0,0,0,0.71,0.07,0.35,0,0.48,0.72,0,0.48,0,0.52,0.51,0,0.12,0.28,0.9,0.27,0,0,0.06,0.4,0.43,0.8,0.89,0,0,0.39,0.82,0.96,0.05,1,0,0.65,0.96,0.56,0.64,0.81,0.23,0,0.51,0,0.22,0,0,0.6,0,0.14
"Area_04","juillet","valley","fast-stream","Summer","M","M-6","F0391","Astyanax_fasciatus",0,0,0.26,0.85,0.62,0.1,0.36,0.52,0.25,0,0.76,0.6,0.12,0,0.38,0,0.81,0,0.09,0,0,0,0.99,0.28,0.89,0,0,0.28,0.95,0.36,0.33,0,0,0,0,0.04,0,0,0,0.9,0.22,0.95,0.45,0.3,0.48,0.38,0.52,0.33,0,0,0.44,0,0,0,0.97,0.15,0.91,0.28,0.49,0
"Area_03","fevrier","pothole","fast-stream","Winter","F","L-5","F0392","Astyanax_fasciatus",0.4,0.18,0,0,0.58,0.53,0.32,0.11,0.31,0,0.57,0,0,0,0.94,0.88,0.88,0.52,0,0.14,0,0.11,0.27,0.79,0,0.4,0.7,0,0,0.92,0.7,0,0.78,0.21,0,0.86,0.96,0,0,0.9,0.44,0.77,0.26,0.33,0.53,0.91,0.94,0.73,0.13,0.4,0.75,0,0.85,0,0,0.83,0.14,0.03,0,0.28
"Area_03","mai","pothole","marine","Summer","F","H-1","F0393","Hoplias_malabaricus",0.49,0,0,0.04,0,0,0.84,0.23,0.75,0.03,0,0,0.33,0.31,0.96,0,0,0.96,0.6,0.79,0,0.79,0.81,0.32,0.76,0.81,0,0.55,0.02,0.57,0,0,0.5,0.97,0.84,0,0,0.91,0,0.06,0,0,0.2,0.02,0,0,0,0.66,0.9,0,0.78,0.18,0,0.98,0.74,0.76,0,0.75,0.6,0.56
"Area_03","novembre","plains","lake","Spring","M","K-4","F0394","Leporinus_friderici",0,0.33,0.66,0.55,0.11,0.76,0,0,0,0,0.18,0.14,0,0.97,0,0.04,0,0.95,0.92,0.04,0.45,0,0.42,0.36,0,0,0,0.62,0.71,0,0,0.89,0,0,0.52,0.99,0,0.53,0.14,0.43,0.23,0,0,0.81,0.7,0.99,0,0.43,0,0.68,0.84,0.23,0.93,0,0,0,0,0.97,0.02,0.16
"Area_05","octobre","plains","lake","Autumn","M","H-1","F0395","Leporinus_friderici",0.5,0,0,0.74,0,0.72,0,0.49,0.05,0.86,0.09,0,0,0.98,0.71,0,0,0.34,0.69,0.56,0,0.54,0,0,0,0,0.41,0,0.17,0.62,0.19,0,0.2,0,0,0.02,0.04,0,0,0,0.1,0.7,0.05,0.61,0.16,0.1,0.03,0,0.67,0.38,0,0,0.36,0,0.5,0,0.39,0.13,0,0
"Area_07","novembre","pothole","river","Winter","M","J-3","F0396","Hoplias_malabaricus",0.18,0.4,0.67,0,0.65,0.36,0.06,0,0,0.03,0,0,0.92,0.11,0.72,0,0,0.26,0,0.42,0.95,0.55,0.46,0.86,0,0.88,0.08,0.03,0,0.27,0.03,0.83,0.24,0,0.6,0.19,0.1,0.76,0,0.73,0.26,0.55,0.7,0.02,0.47,0.77,0.31,0.88,0,0.75,0.87,0,0.93,0.28,0,0.67,0,0.09,0.35,0
"Area_03","mars","valley","marine","Winter","F","J-3","F0397","Astyanax_fasciatus",0.8,0.37,0.44,0.02,0,0,0.9,0.39,0.48,0,0.88,0.33,0.08,0,0.37,0.57,0.95,0.64,0.52,0.74,0.12,0,0.17,0.69,0,0.17,0,0,0.7,0,0.27,0,0,0,0.8,0.27,0,0,0.8,0,0.23,0,0,0,0,0.64,0.72,0.39,0.04,0,0.36,0,0,0.07,0.02,0,0.96,0,0.32,0
"Area_07","juillet","pothole","lake","Winter","F","K-4","F0398","Rhamdia_quelen",0,0.75,0.08,0.94,0,0.6,0,0.7,0,0.41,0.56,0,0.86,0,0.31,0.82,0.78,0.53,0,0,0.14,0,0.59,0.73,0.25,0.52,0.92,0.96,0,0.9,0.05,0.43,0.65,0.25,0.77,0.69,0.03,0.76,0.54,0.3,0.16,0,0.88,0.84,0,0.75,0,0.25,0.04,0.32,0.14,0.95,0.77,0.11,0.25,0,0.67,0.88,0.04,0.4
"Area_08","fevrier","valley","fast-stream","Autumn","M","H-1","F0399","Pimelodus_maculatus",0,0,0.39,0,0.42,0.61,0.98,0,0.36,0,0.24,0.72,0.19,0,0.57,0.32,0.85,0,0.7,0.37,0.1,0.14,0.31,0.98,0,0.05,0.85,0,0.63,0,0.87,0.54,0.64,0.52,0,0,0.64,0,0.86,0.11,0.22,0.17,0.63,0.69,0.97,0,0.79,0.41,0.76,0,0,0,0.62,0.07,0,0,0,0.86,0.42,0.8
"Area_02","aout","valley","river","Spring","F","H-1","F0400","Geophagus_brasiliensis",0.3,0.12,0.76,0.38,0.08,0.83,0,0,0.44,0.15,0,0.13,0.73,0,0.2,0.01,0,0,0.63,0.9,0.9,0,0.48,0,0.84,0.43,0,0.7,0.28,0.37,0,0.74,0,0,0,0.79,0.74,0.87,0,0.43,0.81,0,0.53,0.14,0.17,0.36,0,0.04,0,0,0,0,0.08,0.02,0.64,0.3,0,0.42,0,0
"Area_07","mars","pothole","fast-stream","Summer","M","L-5","F0401","Hoplias_malabaricus",0,0.4,0.69,0.04,0,0.12,0.49,0.37,0,0.76,0.65,0,0.95,0.87,0.56,0.44,0.96,0.39,0.08,0,0.47,0,0,0,0.25,0,0.17,0.35,0.82,0.72,0.78,0,0.19,0.04,0,0.67,0,0,0.66,0.24,0.48,0,0.1,0.24,0.81,0.68,0.48,0.48,0.52,0.4,0.73,0.64,0.4,0.99,0.88,0.36,0,0.87,0.47,0.2
"Area_07","avril","plains","river","Spring","F","H-1","F0402","Cichla_ocellaris",0.27,0.32,0.88,0.51,0.36,0.72,0,0,0.67,0.45,0,0.26,0.34,0,0.3,0.74,0.43,0.1,0.5,0.38,0.63,0.88,0,0,0.94,0.8,0.8,0.51,0,0,0.59,0.33,0,0.47,0,0.82,0.78,0.7,0.16,0,0.58,0.34,0,0.2,0,0.61,0,0,0,0.2,0,0,0,0.41,0,0.52,0.61,0,0.35,0
"Area_03","mars","valley","marine","Summer","M","I-2","F0403","Pimelodus_maculatus",0.09,0.99,0.14,0.55,0.87,0.74,0.28,0.63,0,0.3,0,0.56,0.87,0.45,0,0,0.71,0.89,0,0,0,1,0,0.93,0.86,0,0.44,0.1,0.21,0.79,0.21,0,0.96,0.7,0,0.7,0,0.5,0.85,0.43,0,0,0,0.27,0,0.63,0.95,0.97,0.08,0.32,0.36,0,0.14,0.05,0.6,0.24,0,0.2,0,0
